workload_id,manifest_sha256,system_id,group_id,duplicate_group,order,dataset_id,source_path,source_sha256,normalized_structure_sha256,frame_index,atom_count,species,chemical_formula,pbc,cell_A,volume_A3,constraints,topology_edge_counts,arrival_time,random_seed,reference
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0000,XAFPAY_C1_2_10190_z2_86,f171bd9513e6f8a575a9ca70f8b8951eb486dec83caf6e8923bf2e80a6a6b947,0,cross_family_test_set,XAFPAY/structures/XAFPAY_C1_2_10190_z2_86.cif,fee36e5336f6f0c98e5334673578c4024581b559e77341c6338f7d7727ea1b6e,f171bd9513e6f8a575a9ca70f8b8951eb486dec83caf6e8923bf2e80a6a6b947,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[15.791635133503782, 0.0, 0.0, -24.01265510746693, 32.386532763566876, 0.0, 3.3363959660640075, 2.6323334193708683, 15.1877708540774]",7767.577462102521,[],"{""cutoff=6.000_skin=0.000"": 4200, ""cutoff=6.000_skin=0.500"": 4818}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0001,XAFPAY_C4_2_9184_z2_86,22ff83ff739ce1f2c6068692aba3f8522eace74efc75ed6a2feb92781e349798,1,cross_family_test_set,XAFPAY/structures/XAFPAY_C4_2_9184_z2_86.cif,9ba35f639b2131ae30e326d1587f1c75dde4df7c91a6dd86bed62332f084df2e,22ff83ff739ce1f2c6068692aba3f8522eace74efc75ed6a2feb92781e349798,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[27.274733689569985, 0.0, 0.0, -0.42753883548648003, 14.339576736695566, 0.0, 6.678581305809191, 0.2549270969125311, 26.7162239762905]",10448.93257941489,[],"{""cutoff=6.000_skin=0.000"": 4204, ""cutoff=6.000_skin=0.500"": 4840}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0002,XAFPAY_C4_2_3758_z2_86,4dd3929563bcd7b48eeaa2eea2f48199931eb78fd41ce35a689f56cd466d1fd0,2,cross_family_test_set,XAFPAY/structures/XAFPAY_C4_2_3758_z2_86.cif,75346cc2db35ecebc53b39e00206d7e916ed1ce52c7a08306123cf9dbd3913bb,4dd3929563bcd7b48eeaa2eea2f48199931eb78fd41ce35a689f56cd466d1fd0,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[34.28305691633847, 0.0, 0.0, 5.139652838732745, 14.658388029293464, 0.0, 0.12319621286252239, -1.1665591942487124, 18.966129499575374]",9531.131581138148,[],"{""cutoff=6.000_skin=0.000"": 4218, ""cutoff=6.000_skin=0.500"": 4832}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0003,XAFPAY_C4_2_16177_z2_86,18763c320990ed93c65b5352329f63f0a6d583a58fde5a1cd51488e8cab75192,3,cross_family_test_set,XAFPAY/structures/XAFPAY_C4_2_16177_z2_86.cif,7d844169862f098c841c69e3d51747418163fe3370e54357284212dde98794bc,18763c320990ed93c65b5352329f63f0a6d583a58fde5a1cd51488e8cab75192,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[22.722274430202617, 0.0, 0.0, 6.65461104817398, 17.434131090396363, 0.0, 1.7107403500991818, -16.19136329395248, 19.20787128409512]",7609.065887861476,[],"{""cutoff=6.000_skin=0.000"": 4276, ""cutoff=6.000_skin=0.500"": 4974}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0004,XAFPAY_C1_2_14865_z2_86,9052f7a5d26557bd74ece3b9f915eae62c25e6ab9e6d136fab718e103e04ce63,4,cross_family_test_set,XAFPAY/structures/XAFPAY_C1_2_14865_z2_86.cif,077caef32e5a858c209e88415414a6853e0b9243e7c7e7754c045a7a526943d1,9052f7a5d26557bd74ece3b9f915eae62c25e6ab9e6d136fab718e103e04ce63,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[29.416711831425403, 0.0, 0.0, -14.287983618345343, 23.86845967325746, 0.0, -17.012533303739133, -22.299070497346303, 11.237489969773597]",7890.196813227631,[],"{""cutoff=6.000_skin=0.000"": 4322, ""cutoff=6.000_skin=0.500"": 4954}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0005,XAFPAY_C1_2_9562_z2_86,852ce597d0e04348ef22e0df3cb599073013ecf22f2d40e940af1a3edef26c9e,5,cross_family_test_set,XAFPAY/structures/XAFPAY_C1_2_9562_z2_86.cif,3223e057db0a2dc118b99112e353aa3c45f4d404ff053168b143d7ef04b05caa,852ce597d0e04348ef22e0df3cb599073013ecf22f2d40e940af1a3edef26c9e,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[38.6281051660555, 0.0, 0.0, 7.762475800771537, 19.846987612794607, 0.0, 6.672947180807861, -16.452204716672647, 9.925569152141481]",7609.45272436615,[],"{""cutoff=6.000_skin=0.000"": 4348, ""cutoff=6.000_skin=0.500"": 5134}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0006,XAFPAY_C3_2_17703_z2_86,23efd926c87c14ab411baa06c84f1a100571cb4e4f9b898189d20741ed5d5718,6,cross_family_test_set,XAFPAY/structures/XAFPAY_C3_2_17703_z2_86.cif,7a900f303e8d043be190c3e143f9e44ddfbbcfd69ae0986ae7ed0f4f50694482,23efd926c87c14ab411baa06c84f1a100571cb4e4f9b898189d20741ed5d5718,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[29.866526745365775, 0.0, 0.0, -14.582071264094138, 23.6562637890289, 0.0, 1.5389862639877965, 0.7672176101458602, 11.402405033689746]",8056.146190214594,[],"{""cutoff=6.000_skin=0.000"": 4354, ""cutoff=6.000_skin=0.500"": 5134}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0007,XAFPAY_C4_14_3911_z1_43,7c4e01d81e261f2037881217fc6560b4d11c576762213b44e819a3b6845e83e2,7,cross_family_test_set,XAFPAY/structures/XAFPAY_C4_14_3911_z1_43.cif,0e5d047ec0fb6621f7497dde269fd9878cb692fb9dabbb2db18e4a6d66a99b80,7c4e01d81e261f2037881217fc6560b4d11c576762213b44e819a3b6845e83e2,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[7.518448764750758, 0.0, 0.0, 0.0, 23.50734117355354, 0.0, 7.31763488841024, 0.0, 42.63195085618526]",7534.717286968991,[],"{""cutoff=6.000_skin=0.000"": 4356, ""cutoff=6.000_skin=0.500"": 5400}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0008,XAFPAY_C1_2_10229_z2_86,35e473aed1e46bf155768bbdf412d5974b7b3a90cfce86d3479a7a9ec7e00ac1,8,cross_family_test_set,XAFPAY/structures/XAFPAY_C1_2_10229_z2_86.cif,9d4b8a20bf9b74b3e0a65c806c9a32e5a9e7dd17471763cd5ac1775b0561d32f,35e473aed1e46bf155768bbdf412d5974b7b3a90cfce86d3479a7a9ec7e00ac1,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[27.37498525078712, 0.0, 0.0, -7.672110176331519, 27.219942917878512, 0.0, -3.9721629857789367, 1.9645123825625692, 12.34713595786759]",9200.413240207163,[],"{""cutoff=6.000_skin=0.000"": 4360, ""cutoff=6.000_skin=0.500"": 5026}",0.0,,
OPT-RF-U256-XAFPAY172-R256-v1,a188b7e70587f094d55cd4766b4a0cfd8e6051f08bca4e2c6456962f66b42169,OPT-RF-U256-XAFPAY172-R256-v1:0009,XAFPAY_C1_2_1021_z2_86,b4cef03fb5960ab85edf9c1c5b47db9ea848ebe144fd13d9563175e11448aab0,9,cross_family_test_set,XAFPAY/structures/XAFPAY_C1_2_1021_z2_86.cif,2b06a7ee7be04bfd0afde1c6b43ea416ab91a9a4b898ecd1815e43a6cd664013,b4cef03fb5960ab85edf9c1c5b47db9ea848ebe144fd13d9563175e11448aab0,0,172,"[""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""O"", ""C"", ""O"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""N"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""Cl"", ""C"", ""Cl"", ""C"", ""C"", ""C"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H"", ""H""]",C84H68Cl8N4O8,"[true, true, true]","[17.663760760717153, 0.0, 0.0, -24.8455705828138, 31.06919952033959, 0.0, 2.7795547156717126, -5.998350856840003, 13.1051169987541]",7192.07388966608,[],"{""cutoff=6.000_skin=0.000"": 4386, ""cutoff=6.000_skin=0.500"": 5212}",0.0,,
